algo,dim,func_id,ins_id,run_id,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_level.costs_runtime,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init,pca.costs_runtime,limo.avg_length,limo.avg_length_norm,limo.length_mean,limo.length_sd,limo.cor,limo.cor_norm,limo.ratio_mean,limo.ratio_sd,limo.sd_ratio_reg,limo.sd_ratio_norm,limo.sd_mean_reg,limo.sd_mean_norm,limo.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,iteration_done,iteration_togo,current_best,final_best
DCS,2,22,1,1,0.34853376873900066,0.5752040941102765,0.019752213406350888,0.06812182445613302,3.448819788177762,0.4056622572496572,0.36241833122111555,1.3984435670034587,0.4032359839853227,0.015,-0.2595504436663546,-1.361160594754267,2.0,0.0,0.12,0.14,0.857142857142857,0.24999999999999994,0.25,0.9999999999999998,0.23000000000000004,0.23000000000000004,1.0,0.25,1.0,1.0,0.6666666666666666,1.0,0.5227635286848203,0.5179656734851594,0.5193884553299163,0.5292509978244134,0.0,0.07119287124773024,nan,0.3895929417303342,0.40979044495819067,0.17356600158571456,nan,nan,nan,1.5027850965005045,nan,0.3926276764348299,nan,0.11,0.40245838901134734,0.5267822123571628,0.47771006141068206,0.48422910890652693,-0.41027166447190816,0.031,0.5245907746063844,0.8491506675843303,0.9527489683276141,1.057228480492719,0.5520262659350764,0.8116365018534853,0.8968075075920889,1.0429731845997285,-2.0943322808666185,-0.6645403781631343,-0.20815616452077723,0.25211007207866576,-1.8753893227373828,-0.7885616194770924,-0.4320032263775708,0.1799021804940768,0.0,0.7846249685076774,0.10510510510510505,0.10818059946403899,-0.6556556556556553,0.45918367346938777,0.172,100,19900,1.8251282757,1e-10
DCS,2,22,1,1,0.21306719380168315,0.6061909593968671,0.004064732204712819,0.049327161621359736,12.13540256456939,0.21853396805568126,0.2790158951184398,3.102352616144152,0.24526011361057898,0.016,-0.28928454396406206,-1.216576834529355,2.0,0.0,0.1,0.11000000000000001,0.9090909090909091,0.27,0.21999999999999997,1.2272727272727275,0.31,0.33,0.9393939393939393,0.234,1.0,1.0,0.6666666666666666,1.0,0.5882406483554713,0.5714452816638992,0.5859573426261928,0.5112484212418239,0.016,0.10366001214561599,nan,0.35200167786398984,0.36568159609478523,0.2705765217399754,nan,nan,nan,1.1230282704950159,nan,0.354388863308157,nan,0.093,0.30762978663095497,0.49583020837819874,0.3925885588800894,0.4979117267836611,-0.4092620324762082,0.032,0.17831304696586486,0.9736037597358835,0.9617526254737249,0.9822604203845468,0.18567954560763397,0.9593951674594378,0.9367855636418471,0.9474676771304643,-3.778354853653254,-0.12137756617875706,-0.17587251768720957,-0.08157173056517042,-3.59592605397219,-0.17930530230723196,-0.27914617330479263,-0.23197544340599752,0.0,0.7863479524515729,0.08508508508508503,0.13008567169280677,-0.6556556556556553,0.5408163265306123,0.296,200,19800,0.1083258337,1e-10
DCS,2,22,1,1,0.12248895326326803,0.648050421502205,0.012937913075764066,0.04509293464514672,3.4853329421123584,0.12375436392471728,0.143695538638265,1.2886035023432725,0.16899501670825245,0.016,-0.19413643340441036,-1.4986783499291083,2.0,0.0,0.1,0.1,1.0,0.28,0.28,1.0,0.33999999999999997,0.37,0.9189189189189189,0.234,1.0,1.0,0.6666666666666666,1.0,0.5993646794055763,0.5496383979862846,0.5952379445696758,0.4555769210086783,0.016,0.05771152633156661,nan,0.2894979846972572,0.326538990820947,0.45552751314615547,nan,nan,nan,1.0504939490833032,nan,0.30904228418159463,nan,0.078,0.5845903438699321,0.6188988126388129,0.627760615690439,0.4157910894793517,-0.4509132580644371,0.031,0.7199104775912997,0.8331516230077949,0.7528566345865402,0.8110006883211539,0.7537406072247406,0.8406940112110598,0.7792040960694124,0.8474408809021472,-1.0807919909950687,-0.6438241174211794,-0.9536614139270561,-0.7292987635146626,-0.9076003195702858,-0.58712954947572,-0.8137534601577401,-0.5622636508851295,0.016,0.792286524843558,0.2852852852852852,0.14264925366899506,-0.5555555555555552,0.5306122448979592,0.188,300,19700,0.0153284837,1e-10
DCS,2,22,1,1,0.03128848847396137,0.5856678796984058,0.002597961656420349,0.030476336178703135,11.730864504249666,0.024440555851432677,0.06816455945213018,10.17043459672596,0.08534787260061616,0.015,0.028163555814946707,-1.5929078111256973,2.0,0.0,0.1,0.11000000000000001,0.9090909090909091,0.25,0.26999999999999996,0.925925925925926,0.45999999999999996,0.42000000000000004,1.0952380952380951,0.235,1.0,1.0,0.6666666666666666,1.0,0.6201983926233996,0.5324660467307263,0.6137911976167647,0.4144927048765425,0.015,0.10822444660098739,nan,0.3890738836842854,0.4574219804819943,-0.13764362500294114,nan,nan,nan,1.0739155315490587,nan,0.42229339152006395,nan,0.078,0.3038961346248729,0.4887229993633013,0.6504763411324789,0.5053080595273446,-0.3426539613201043,0.032,2.780341509743915,1.3335167298517863,1.1197381605830008,1.074593301053673,2.9768673893797235,1.2414165545773823,1.1064740688568189,1.084556093126085,6.547120743751517,1.2264918210635258,0.44033135815856905,0.2743132966346735,6.789897605293532,0.8291874784365323,0.3657038550186269,0.29042272502149125,0.0,0.7736889064703003,0.1451451451451451,0.18376562003881725,-0.6156156156156153,0.5306122448979592,0.171,400,19600,2.56741e-05,1e-10
DCS,2,22,1,1,0.1614460002051008,0.5763102595562766,0.022642962671191896,0.059346632112749396,2.620974691984751,0.15346700378291434,0.22669231885523744,2.537680323454758,0.24944654998679627,0.016,-0.12884543620521888,-1.4605703266328973,2.0,0.0,0.1,0.12000000000000002,0.8333333333333333,0.25999999999999995,0.2799999999999999,0.9285714285714287,0.33,0.32,1.03125,0.234,1.0,1.0,0.6666666666666666,1.0,0.6482981594982707,0.5195081008785931,0.6418325303835968,0.47027804094727804,0.016,0.02356747038138522,nan,0.34527250818454286,0.33657466150075493,-0.44212954777655766,nan,nan,nan,1.4558569265916395,nan,0.34013524903007175,nan,0.063,0.49379912429248024,0.5669523925875141,0.5566452796147114,0.43358774921538534,-0.4040026184276279,0.031,0.27323706572212647,0.9895055432991702,1.1115859291130028,0.9316870853023589,0.2949743846472966,0.963999572241545,1.1527721073999946,0.9738360336049773,-2.3330598878081306,-0.03368938455477677,0.3582139965847655,-0.2192986372629009,-2.096492545579335,-0.10705232092242589,0.4542892873137738,-0.07780222351568344,0.015,0.7489982735830695,0.38538538538538525,0.08393129498166364,-0.6556556556556553,0.3877551020408163,0.282,500,19500,0.0149458704,1e-10
DCS,2,22,1,1,0.04436025575974656,0.6383487894757037,0.027509142062661203,0.030614904365725556,1.1128992789375236,0.06186864095817679,0.06536241860276337,2.4941931338872667,0.14087229023728698,0.0,-0.05685944704992264,-1.6636969326074007,2.0,0.015,0.1,0.1,1.0,0.2699999999999999,0.24999999999999994,1.0799999999999998,0.5000000000000001,0.43000000000000005,1.1627906976744187,0.219,1.0,1.0,0.6666666666666666,1.0,0.6403536115061567,0.5153912033318371,0.6328685371872316,0.4112992726994138,0.016,0.15385398720125262,nan,0.32154582108113144,0.3916412573771785,0.1071494817256099,nan,nan,nan,1.2403185180443497,nan,0.34249077986426735,nan,0.078,0.43108910641273185,0.5275333542156887,0.5859736390938708,0.47720286848813953,-0.3880612673943645,0.031,1.5375948605304772,1.022178489304303,0.9286489735056055,0.8778868853237666,1.6787582794391303,1.0580194171983444,0.9988523287700197,0.957526242718464,1.8110498753993092,0.07471490752621479,-0.24036737909803785,-0.4113747309652278,2.0943255635351354,0.17902035570057429,-0.0035411681423136443,-0.131053835140857,0.0,0.7860876492900767,0.4454454454454452,0.10818059946403899,-0.7357357357357354,0.5306122448979592,0.188,600,19400,0.0001382383,1e-10
DCS,2,22,1,1,-0.005232984950570785,0.642452504397708,0.013565646202097771,0.015223107049231606,1.1221807514689222,-0.001033683945750985,0.02346153409389906,5.545185811112512,0.1202728577607548,0.015,-0.0982233731714539,-1.5894211901326227,2.0,0.0,0.11000000000000001,0.1,1.1,0.25,0.26999999999999996,0.925925925925926,0.52,0.29999999999999993,1.7333333333333338,0.235,1.0,1.0,0.6666666666666666,1.0,0.663849556093895,0.5186559631591884,0.6549385132408094,0.36897328456274087,0.0,0.17188554349427856,nan,0.4448012572958846,0.8098508359033875,-0.7956814767133427,nan,nan,nan,1.00018499200147,nan,0.646018907465233,nan,0.078,0.5520488173112601,0.5924019099914811,0.7805014509642263,0.4497860658119511,-0.37490345938777186,0.047,0.1315299618231378,1.304887937396824,1.1184428213107533,1.037006266032601,0.1438566953548285,1.1935021830591166,1.161572552404197,1.074069844613391,-2.7662005344986427,0.9711114239009944,0.3772572238705263,0.117870218175947,-2.493273378851625,0.563519961148236,0.4705340116272385,0.2157073129559577,0.0,0.7790445153413413,0.40540540540540526,0.13936192742241435,-0.6756756756756753,0.46938775510204084,0.234,700,19300,0.0009381015,1e-10
DCS,2,22,1,1,-0.0025004716408403294,0.6244195173500383,0.01371268868073667,0.018790305223369733,1.370285992838589,0.012042218981732966,0.06889662092270255,5.391917780480755,0.08021458305345663,0.0,-0.1538254538776072,-1.5010576920542602,2.0,0.015,0.1,0.11000000000000001,0.9090909090909091,0.25,0.29,0.8620689655172414,0.42000000000000004,0.34,1.2352941176470589,0.219,1.0,1.0,0.6666666666666666,1.0,0.7195937109218814,0.5184252254553541,0.7106745464368105,0.37135997898741985,0.016,0.04459412980626848,nan,0.22345856599642197,0.2629202021535314,0.1411079437224234,nan,nan,nan,1.1914565846337324,nan,0.24391008838655626,nan,0.093,0.6018111863126236,0.5461256577382366,0.7934422942743308,0.4823655033142936,-0.3712527303896118,0.047,1.0039460398859867,0.9100085971672442,1.3386739699989922,1.0571109452730136,1.135609020622831,1.0431749423010808,1.2902612380955785,1.0153403936565446,0.012402110209734474,-0.2828362936279243,1.064427127564497,0.17949545821200275,0.37679422023846865,0.11996302785360369,0.806500602772311,0.042623799209089874,0.0,0.7416409265928391,0.5055055055055053,0.15282140360258709,-0.6156156156156153,0.4387755102040816,0.25,800,19200,0.0001263409,1e-10
DCS,2,22,1,1,-0.0014358865490069483,0.6859075026112318,0.005204153225401136,0.023880254110111212,4.588691584550823,-0.011866942380916345,0.08325978145339707,19.962641029970868,0.2628577337190384,0.016,-0.3359134451040468,-1.5246417883040773,2.0,0.0,0.1,0.11000000000000001,0.9090909090909091,0.25,0.25,1.0,0.65,0.42000000000000004,1.5476190476190474,0.219,1.0,1.0,0.6666666666666666,1.0,0.6545441215360654,0.5185381392789691,0.6420169425943605,0.37899400903121827,0.015,0.07500950445187325,nan,0.21192600601184858,0.2510216666992497,-0.08795862798748777,nan,nan,nan,1.4622374348318383,nan,0.22493037389676557,nan,0.078,0.40369252769154845,0.539585771119856,0.6478702261932091,0.4880229551406025,-0.3840875764738637,0.047,3.3229664175768847,1.6900454694457097,1.3294831484699832,1.1225533873486386,3.7144468447919907,1.73365169646251,1.3568510398747688,1.1570476172288287,6.170597510325392,1.8329980250918037,0.8752205284843546,0.3255439343132145,6.450560223698376,1.7434360375594506,0.8480140725606957,0.37320499197342727,0.0,0.6959450579956963,0.3653653653653652,0.09203731996618221,-0.6156156156156153,0.4387755102040816,0.172,900,19100,0.0001125725,1e-10
DCS,2,22,1,1,0.049137360638557226,0.680811161363318,0.028508832328168414,0.036163175964046175,1.2684902540997731,0.06282559107890451,0.18305867107026919,5.034064955072783,0.24043906084911715,0.016,-0.582126926737692,-1.172706152607278,2.0,0.0,0.11000000000000001,0.11000000000000001,1.0,0.29,0.24000000000000005,1.208333333333333,0.36,0.29,1.2413793103448276,0.25,1.0,1.0,0.6666666666666666,1.0,0.7671998209002804,0.6063747794371214,0.7556785650397414,0.47054597482326005,0.0,0.05716025738799383,nan,0.20299357729563758,0.21170830496692583,0.709517158214821,nan,nan,nan,1.5234414871057806,nan,0.2024148980216492,nan,0.078,0.5637018371566844,0.5284034658575615,0.5459269960247378,0.5015960338903966,-0.34306648265533746,0.047,0.6924377249278497,1.2725937453938505,1.104952447308148,0.9675829578128803,0.7426068084599698,1.4186127703171911,1.1496667073910136,1.0798885743175752,-0.8357664092684094,0.740743303850905,0.2851966484188795,-0.08808972082637867,-0.6521848355862061,1.0606842362461797,0.3792266468608454,0.2024222800719313,0.0,0.7231724512039747,0.40540540540540526,0.07834463174897777,-0.8358358358358354,0.5306122448979592,0.265,1000,19000,0.0002226507,1e-10
