algo,dim,fid,iid,run,eval,final_cost,current_cost,x1,x2
DCS,2,8,1,1,1,8.006208643071846e-15,3484.0920467344,-3.020960,-3.401754
DCS,2,8,1,1,2,8.006208643071846e-15,7472.4385215112,1.865613,-1.481841
DCS,2,8,1,1,3,8.006208643071846e-15,4880.7420395556,2.208808,2.300388
DCS,2,8,1,1,4,8.006208643071846e-15,937.5774438403,-1.770363,-3.916523
DCS,2,8,1,1,5,8.006208643071846e-15,1646.1966091781,-1.877714,-4.747511
DCS,2,8,1,1,6,8.006208643071846e-15,38217.7966446343,3.436182,-0.744545
DCS,2,8,1,1,7,8.006208643071846e-15,194.1166253247,-3.727470,4.426237
DCS,2,8,1,1,8,8.006208643071846e-15,370.0512668722,0.162480,2.035492
DCS,2,8,1,1,9,8.006208643071846e-15,176.4580991623,-0.692538,0.087569
DCS,2,8,1,1,10,8.006208643071846e-15,1710.6252421602,-1.745345,3.238016
DCS,2,8,1,1,11,8.006208643071846e-15,1548.7855304774,0.387367,4.645412
DCS,2,8,1,1,12,8.006208643071846e-15,14087.9077021277,-4.888285,1.462332
DCS,2,8,1,1,13,8.006208643071846e-15,39325.0348458989,3.749309,1.885614
DCS,2,8,1,1,14,8.006208643071846e-15,96285.5815426571,4.384850,-2.803400
DCS,2,8,1,1,15,8.006208643071846e-15,27.2534108885,-1.396556,-0.749755
DCS,2,8,1,1,16,8.006208643071846e-15,80.0083800919,-1.855421,0.145725
DCS,2,8,1,1,17,8.006208643071846e-15,3809.2373369543,2.116641,2.521698
DCS,2,8,1,1,18,8.006208643071846e-15,13061.5632343397,-4.603658,-0.198909
DCS,2,8,1,1,19,8.006208643071846e-15,83788.7901035992,4.320717,-1.413302
DCS,2,8,1,1,20,8.006208643071846e-15,605.0184410221,-0.322137,1.626149
DCS,2,8,1,1,21,8.006208643071846e-15,7148.4342575723,1.548823,-3.043184
DCS,2,8,1,1,22,8.006208643071846e-15,1144.3471175222,-1.092127,2.011794
DCS,2,8,1,1,23,8.006208643071846e-15,9156.5497507047,1.565072,-4.072587
DCS,2,8,1,1,24,8.006208643071846e-15,1336.1465198350,-3.197359,-0.423757
DCS,2,8,1,1,25,8.006208643071846e-15,27.3824227916,-1.231804,-0.829728
DCS,2,8,1,1,26,8.006208643071846e-15,5884.8707241056,1.831333,-0.707699
DCS,2,8,1,1,27,8.006208643071846e-15,4220.0104815811,-3.725367,-0.726794
DCS,2,8,1,1,28,8.006208643071846e-15,170.5475358177,-1.922786,-1.910611
DCS,2,8,1,1,29,8.006208643071846e-15,9507.0185877569,-4.676003,1.999975
DCS,2,8,1,1,30,8.006208643071846e-15,963.3917503157,-0.339588,2.245026
DCS,2,8,1,1,31,8.006208643071846e-15,68.5400898864,0.841485,1.403595
DCS,2,8,1,1,32,8.006208643071846e-15,716.5914718255,-1.331564,1.379455
DCS,2,8,1,1,33,8.006208643071846e-15,12.4889978010,-0.084990,-0.782877
DCS,2,8,1,1,34,8.006208643071846e-15,102019.7315715863,4.345628,-4.139357
DCS,2,8,1,1,35,8.006208643071846e-15,263.1477778382,-1.017968,-2.988737
DCS,2,8,1,1,36,8.006208643071846e-15,52.0092747006,-1.354644,-0.571762
DCS,2,8,1,1,37,8.006208643071846e-15,107.2020459784,-2.835316,0.800653
DCS,2,8,1,1,38,8.006208643071846e-15,111353.0712173783,4.480749,-4.090595
DCS,2,8,1,1,39,8.006208643071846e-15,3730.2209323260,1.325958,-1.806878
DCS,2,8,1,1,40,8.006208643071846e-15,56283.5145066153,4.372844,4.372844
DCS,2,8,1,1,41,8.006208643071846e-15,89762.8293647826,4.471548,-0.782877
DCS,2,8,1,1,42,8.006208643071846e-15,4.6408444478,-1.754197,-0.749755
DCS,2,8,1,1,43,8.006208643071846e-15,1174.2734570625,-1.231804,2.085136
DCS,2,8,1,1,44,8.006208643071846e-15,75.0011236708,-1.354644,-0.424906
DCS,2,8,1,1,45,8.006208643071846e-15,5.3919110225,0.841485,2.012421
DCS,2,8,1,1,46,8.006208643071846e-15,170.9380924880,-0.596710,0.145725
DCS,2,8,1,1,47,8.006208643071846e-15,791.2254704959,-2.835316,-1.001086
DCS,2,8,1,1,48,8.006208643071846e-15,680.3756573600,0.382931,-1.910611
DCS,2,8,1,1,49,8.006208643071846e-15,7330.0382315967,2.403455,2.033464
DCS,2,8,1,1,50,8.006208643071846e-15,21.1334591129,0.636265,1.944735
DCS,2,8,1,1,51,8.006208643071846e-15,104139.1000226265,4.480996,-2.988737
DCS,2,8,1,1,52,8.006208643071846e-15,816.6509491231,-0.314458,2.035492
DCS,2,8,1,1,53,8.006208643071846e-15,847.0435970378,-1.354280,1.626149
DCS,2,8,1,1,54,8.006208643071846e-15,1117.0719628466,-2.195433,3.264735
DCS,2,8,1,1,55,8.006208643071846e-15,2938.3275007720,0.640225,-3.916523
DCS,2,8,1,1,56,8.006208643071846e-15,817.5752554655,-0.339588,2.000487
DCS,2,8,1,1,57,8.006208643071846e-15,730.4162023330,-1.282630,1.380757
DCS,2,8,1,1,58,8.006208643071846e-15,2615.3284979436,1.944958,2.520035
DCS,2,8,1,1,59,8.006208643071846e-15,18295.0638157937,2.693683,-0.839804
DCS,2,8,1,1,60,8.006208643071846e-15,556.5615841386,-0.038893,2.021235
DCS,2,8,1,1,61,8.006208643071846e-15,1455.0811257001,-1.949050,3.238016
