algo,dim,fid,iid,run,eval,final_cost,current_cost,x1,x2
DCS,2,21,1,1,1,2.7828672894918567e-15,11.5853305265,-3.020960,-3.401754
DCS,2,21,1,1,2,2.7828672894918567e-15,26.2876286886,1.865613,-1.481841
DCS,2,21,1,1,3,2.7828672894918567e-15,3.6327769566,2.208808,2.300388
DCS,2,21,1,1,4,2.7828672894918567e-15,12.7283547886,-1.770363,-3.916523
DCS,2,21,1,1,5,2.7828672894918567e-15,13.0478304034,-1.877714,-4.747511
DCS,2,21,1,1,6,2.7828672894918567e-15,26.4875240267,3.436182,-0.744545
DCS,2,21,1,1,7,2.7828672894918567e-15,44.3670349866,-3.727470,4.426237
DCS,2,21,1,1,8,2.7828672894918567e-15,8.4930849083,0.162480,2.035492
DCS,2,21,1,1,9,2.7828672894918567e-15,12.4827104857,-0.692538,0.087569
DCS,2,21,1,1,10,2.7828672894918567e-15,5.0010076162,-1.745345,3.238016
DCS,2,21,1,1,11,2.7828672894918567e-15,2.1188129606,0.387367,4.645412
DCS,2,21,1,1,12,2.7828672894918567e-15,22.9761136862,-4.888285,1.462332
DCS,2,21,1,1,13,2.7828672894918567e-15,7.5756824176,3.749309,1.885614
DCS,2,21,1,1,14,2.7828672894918567e-15,19.4442143550,4.384850,-2.803400
DCS,2,21,1,1,15,2.7828672894918567e-15,1.5244043494,-1.396556,-0.749755
DCS,2,21,1,1,16,2.7828672894918567e-15,34.1528856157,-1.855421,0.145725
DCS,2,21,1,1,17,2.7828672894918567e-15,4.5563617320,2.116641,2.521698
DCS,2,21,1,1,18,2.7828672894918567e-15,28.2543017589,-4.603658,-0.198909
DCS,2,21,1,1,19,2.7828672894918567e-15,23.8961321303,4.320717,-1.413302
DCS,2,21,1,1,20,2.7828672894918567e-15,11.4322556129,-0.322137,1.626149
DCS,2,21,1,1,21,2.7828672894918567e-15,3.7978030411,1.548823,-3.043184
DCS,2,21,1,1,22,2.7828672894918567e-15,19.9540522311,-1.092127,2.011794
DCS,2,21,1,1,23,2.7828672894918567e-15,5.7332590329,1.565072,-4.072587
DCS,2,21,1,1,24,2.7828672894918567e-15,6.5538268902,-3.197359,-0.423757
DCS,2,21,1,1,25,2.7828672894918567e-15,1.4551808589,-1.231804,-0.829728
DCS,2,21,1,1,26,2.7828672894918567e-15,12.5647170329,1.831333,-0.707699
DCS,2,21,1,1,27,2.7828672894918567e-15,18.3804227732,-3.725367,-0.726794
DCS,2,21,1,1,28,2.7828672894918567e-15,4.0744675188,-1.922786,-1.910611
DCS,2,21,1,1,29,2.7828672894918567e-15,18.5103461838,-4.676003,1.999975
DCS,2,21,1,1,30,2.7828672894918567e-15,3.3752645037,-0.339588,2.245026
DCS,2,21,1,1,31,2.7828672894918567e-15,2.9372200993,0.841485,1.403595
DCS,2,21,1,1,32,2.7828672894918567e-15,8.2024503589,-1.331564,1.379455
DCS,2,21,1,1,33,2.7828672894918567e-15,14.1219151520,-0.084990,-0.782877
DCS,2,21,1,1,34,2.7828672894918567e-15,22.1306351307,4.345628,-4.139357
DCS,2,21,1,1,35,2.7828672894918567e-15,7.3872184277,-1.017968,-2.988737
DCS,2,21,1,1,36,2.7828672894918567e-15,2.6531334545,-1.354644,-0.571762
DCS,2,21,1,1,37,2.7828672894918567e-15,9.2845114284,-2.835316,0.800653
DCS,2,21,1,1,38,2.7828672894918567e-15,23.6340959891,4.480749,-4.090595
DCS,2,21,1,1,39,2.7828672894918567e-15,35.8810514824,1.325958,-1.806878
DCS,2,21,1,1,40,2.7828672894918567e-15,14.3069513490,4.372844,4.372844
DCS,2,21,1,1,41,2.7828672894918567e-15,19.0654249330,-3.736671,-0.829728
DCS,2,21,1,1,42,2.7828672894918567e-15,40.9666930397,3.765475,-0.749755
DCS,2,21,1,1,43,2.7828672894918567e-15,2.0740622886,0.387367,4.822706
DCS,2,21,1,1,44,2.7828672894918567e-15,20.9030313455,-1.354644,0.799504
DCS,2,21,1,1,45,2.7828672894918567e-15,13.5817876130,0.841485,2.036119
DCS,2,21,1,1,46,2.7828672894918567e-15,7.6994233558,1.567326,2.245026
DCS,2,21,1,1,47,2.7828672894918567e-15,25.1565750399,2.208808,-1.057170
DCS,2,21,1,1,48,2.7828672894918567e-15,6.8536631000,-0.326572,-3.043184
DCS,2,21,1,1,49,2.7828672894918567e-15,5.5357256671,2.403455,1.424638
DCS,2,21,1,1,50,2.7828672894918567e-15,14.0326201901,3.558321,4.017190
DCS,2,21,1,1,51,2.7828672894918567e-15,18.6759807217,-3.727223,3.238016
DCS,2,21,1,1,52,2.7828672894918567e-15,7.0012454502,-3.189680,-4.072587
DCS,2,21,1,1,53,2.7828672894918567e-15,7.2612181270,-1.354280,-0.423757
DCS,2,21,1,1,54,2.7828672894918567e-15,11.5986248135,-1.142627,0.114289
DCS,2,21,1,1,55,2.7828672894918567e-15,2.9783361183,2.120601,1.885614
DCS,2,21,1,1,56,2.7828672894918567e-15,20.2791555911,-1.331564,2.024185
DCS,2,21,1,1,57,2.7828672894918567e-15,8.3562587192,-0.969034,-2.987435
DCS,2,21,1,1,58,2.7828672894918567e-15,9.1744588446,-2.049396,-4.749174
DCS,2,21,1,1,59,2.7828672894918567e-15,28.0700611865,2.338932,4.812631
DCS,2,21,1,1,60,2.7828672894918567e-15,6.8007411381,-1.030870,1.400203
DCS,2,21,1,1,61,2.7828672894918567e-15,32.3615399219,-1.591409,0.087569
DCS,2,21,1,1,62,2.7828672894918567e-15,7.6627835883,-1.842379,-0.707699
DCS,2,21,1,1,63,2.7828672894918567e-15,2.0524868514,-1.353659,-0.634771
DCS,2,21,1,1,64,2.7828672894918567e-15,16.4788675966,-2.014198,-4.520743
DCS,2,21,1,1,65,2.7828672894918567e-15,7.8663542184,0.956804,-2.204388
DCS,2,21,1,1,66,2.7828672894918567e-15,4.2269195022,-2.422290,4.372844
DCS,2,21,1,1,67,2.7828672894918567e-15,7.6893069589,-3.725367,0.847491
DCS,2,21,1,1,68,2.7828672894918567e-15,37.8292586868,4.743450,1.999975
DCS,2,21,1,1,69,2.7828672894918567e-15,12.6581504977,-0.307575,1.578795
DCS,2,21,1,1,70,2.7828672894918567e-15,35.5212684772,1.328488,-1.494103
DCS,2,21,1,1,71,2.7828672894918567e-15,12.6880260952,-0.327186,0.430322
DCS,2,21,1,1,72,2.7828672894918567e-15,7.6580371858,0.055858,-3.356892
DCS,2,21,1,1,73,2.7828672894918567e-15,6.5798324819,4.480749,2.756136
DCS,2,21,1,1,74,2.7828672894918567e-15,18.9361361203,-0.339641,-1.413302
DCS,2,21,1,1,75,2.7828672894918567e-15,0.5126232913,-2.508392,-1.481841
DCS,2,21,1,1,76,2.7828672894918567e-15,6.4832543973,-0.781909,3.796506
DCS,2,21,1,1,77,2.7828672894918567e-15,7.5605222613,2.159967,-0.198909
DCS,2,21,1,1,78,2.7828672894918567e-15,20.6169723706,3.416725,3.884190
DCS,2,21,1,1,79,2.7828672894918567e-15,14.1064218784,-2.659562,2.299122
DCS,2,21,1,1,80,2.7828672894918567e-15,11.0210872416,1.716166,4.426237
