algo,dim,fid,iid,run,eval,final_cost,current_cost,x1,x2
DCS,2,11,1,1,1,3.623867266346087e-15,673951.1043673217,-3.020960,-3.401754
DCS,2,11,1,1,2,3.623867266346087e-15,6663755.9635740751,1.865613,-1.481841
DCS,2,11,1,1,3,3.623867266346087e-15,39057982.8988953531,2.208808,2.300388
DCS,2,11,1,1,4,3.623867266346087e-15,947893.9004940570,-1.770363,-3.916523
DCS,2,11,1,1,5,3.623867266346087e-15,3547332.0463829949,-1.877714,-4.747511
DCS,2,11,1,1,6,3.623867266346087e-15,12569307.8830686808,3.436182,-0.744545
DCS,2,11,1,1,7,3.623867266346087e-15,43065312.3940897882,-3.727470,4.426237
DCS,2,11,1,1,8,3.623867266346087e-15,27151386.8983233981,0.162480,2.035492
DCS,2,11,1,1,9,3.623867266346087e-15,9474709.9174204748,-0.692538,0.087569
DCS,2,11,1,1,10,3.623867266346087e-15,34379504.0554266348,-1.745345,3.238016
DCS,2,11,1,1,11,3.623867266346087e-15,64191655.2975427955,0.387367,4.645412
DCS,2,11,1,1,12,3.623867266346087e-15,9721130.5779665504,-4.888285,1.462332
DCS,2,11,1,1,13,3.623867266346087e-15,40207716.6943160072,3.749309,1.885614
DCS,2,11,1,1,14,3.623867266346087e-15,3549785.1945240418,4.384850,-2.803400
DCS,2,11,1,1,15,3.623867266346087e-15,4978252.1438753335,-1.396556,-0.749755
DCS,2,11,1,1,16,3.623867266346087e-15,8215303.0559735643,-1.855421,0.145725
DCS,2,11,1,1,17,3.623867266346087e-15,42144759.0712297112,2.116641,2.521698
DCS,2,11,1,1,18,3.623867266346087e-15,2475298.3766463492,-4.603658,-0.198909
DCS,2,11,1,1,19,3.623867266346087e-15,9923067.5991953220,4.320717,-1.413302
DCS,2,11,1,1,20,3.623867266346087e-15,22198160.7833191082,-0.322137,1.626149
DCS,2,11,1,1,21,3.623867266346087e-15,599871.1128349404,1.548823,-3.043184
DCS,2,11,1,1,22,3.623867266346087e-15,23343954.5660439134,-1.092127,2.011794
DCS,2,11,1,1,23,3.623867266346087e-15,16576.3064001854,1.565072,-4.072587
DCS,2,11,1,1,24,3.623867266346087e-15,3444440.9857982891,-3.197359,-0.423757
DCS,2,11,1,1,25,3.623867266346087e-15,4796437.2401323924,-1.231804,-0.829728
DCS,2,11,1,1,26,3.623867266346087e-15,9489708.4527096339,1.831333,-0.707699
DCS,2,11,1,1,27,3.623867266346087e-15,2046801.2131827765,-3.725367,-0.726794
DCS,2,11,1,1,28,3.623867266346087e-15,659488.0351267381,-1.922786,-1.910611
